Sample	SoSPredictedPloidy(Top5)	ErrorInSoSApproach(Top5)	Copy_Number
SRR089523	2.9,2.95,2.85,3,4.85	3729.99,3733.79,3755.04,3779.01,3793.07	2.9
SRR089526	1.7,1.75,1.65,1.8,1.85	2963.93,2975.92,3121.34,3149.34,3443.83	1.7
SRR089529	1.85,1.9,1.8,1.95,1.75	843.45,854.64,1103.95,1139.2,1615.55	1.85
SRR089533	1.8,1.75,1.85,1.7,1.9	1138.22,1226.51,1330.96,1581.29,1725.14	1.8
SRR089542	5,5.05,4.95,5.1,4.9	2649.5,2719.39,2789.29,2979.65,3055.78	5
SRR089550	2,1.95,2.05,1.9,2.1	1670.25,1719.77,1866.68,2020.99,2312.62	2
SRR089561	1.95,1.9,2.95,2.9,2	502.89,581.59,587.68,598.5,683.23	1.95
SRR089564	2,1.95,3,2.95,2.05	186.47,248.44,339.53,367.1,392.13	2
SRR089568	2,1.95,2.05,1.9,2.95	319.83,333.48,578.1,616.15,702.39	2
SRR089573	2,2.05,1.95,4.05,2.1	333.58,386.34,544.91,675.37,705.83	2
SRR089577	1.95,2,1.9,2.05,1.85	1404.35,1464.32,1587.1,1771.83,2013.31	1.95
SRR089578	1.95,2,1.9,2.05,1.85	371.96,496.47,517.98,895.01,934.82	1.95
SRR089580	2,1.95,2.05,1.9,3	587.68,652.29,789.69,978.9,1113.88	2
SRR089583	2,1.95,2.05,1.9,3	630.4,751.06,781.37,1140.23,1163.3	2
SRR089586	2,1.95,2.05,3,1.9	474.43,525.95,674.67,830.85,846.2	2
SRR089589	5.25,5.3,5.2,4.55,5.15	3840.02,3867.66,3874.69,3967.81,3972.44	5.25
SRR089591	2,1.95,2.05,1.9,2.1	904.84,970.14,1109.18,1273.36,1583.58	2
SRR089592	1.95,2,1.9,2.05,1.85	1742.27,1789.7,1934.23,2077.97,2350.32	1.95
SRR089593	2,1.95,2.05,3,2.95	328.77,409.27,482.68,554.33,637.89	2
SRR089594	2,1.95,2.05,1.9,3	413.31,473.57,621.55,805.81,861.35	2
SRR089595	2,1.95,2.05,1.9,3	532.95,596.11,738.67,923.15,1052.93	2
SRR089596	2,1.95,2.05,1.9,3	719.31,763.38,941.9,1068.68,1350.72	2
SRR089597	2,1.95,2.05,3,2.95	282.6,361.16,473.31,547.87,635.28	2
SRR089598	2,1.95,2.05,1.9,3	462.36,518.07,678.11,844.29,954.47	2
SRR089599	2,1.95,2.05,3,2.95	313.44,380.13,510.34,606.75,669.99	2
SRR089600	2,1.95,2.05,3,1.9	494.15,556.83,692.36,813.88,883.8	2
SRR089601	2,1.95,2.05,3,2.95	325.11,401.04,517.72,622.68,691.92	2
SRR089602	1.95,2,1.9,2.05,3.9	329.62,406.92,519.81,752.82,901.1	1.95
SRR089603	2,1.95,2.05,1.9,2.1	2205.75,2229.63,2353.66,2460.66,2698.39	2
SRR089604	2,1.95,2.05,3,2.95	400.96,452.42,600.79,716.98,747.32	2
SRR089605	2,1.95,2.05,1.9,2.95	588.36,639.97,799.52,954.68,1042.9	2
SRR089606	1.95,2,2.95,3,2.9	601.54,619.74,644.98,756.44,804.87	1.95
SRR089607	2,1.95,2.05,1.9,2.1	1153.19,1164.44,1360.53,1430.11,1818.34	2
SRR089608	2,1.95,2.05,1.9,2.1	670.76,729.91,883.01,1061.53,1363.1	2
SRR089609	2,1.95,2.05,3,3.05	620.87,733.1,754.39,929.12,979.3	2
SRR089610	2,1.95,2.05,3,2.95	254.57,338.03,440.94,561.94,620.53	2
SRR089646	4.65,4.6,4.7,4.55,4.75	1109.48,1191.59,1286.38,1545,1605.68	4.65
SRR089659	4.65,4.6,4.7,4.55,4.75	866.38,950.71,1038.76,1313.68,1458.94	4.65
SRR089662	4.6,4.65,4.55,4.7,4.5	933.48,987.92,1156.9,1318.7,1680.03	4.6
SRR089663	4.65,4.6,4.7,4.55,4.75	1778.27,1838.39,1907.15,2040.16,2224.22	4.65
SRR089664	4.6,4.65,4.55,4.7,4.5	1570.85,1605.37,1803.67,1952.9,2270.72	4.6
SRR089665	4.6,4.55,4.65,4.5,4.7	1114.37,1165.93,1292.51,1486.87,1729	4.6
SRR089666	4.6,4.55,4.65,4.5,4.7	1111.81,1124.91,1363.05,1390.95,1879.88	4.6
SRR089694	4.5,4.55,4.6,4.45,4.65	981.79,982.31,1243.72,1290.77,1719.4	4.5
SRR089695	4.55,4.6,4.5,4.65,4.45	2450.05,2465.18,2560.48,2706.67,2806.88	4.55
SRR089696	4.55,4.6,4.5,4.45,4.65	1865.22,1997.36,2001.68,2390.55,2393.64	4.55
SRR089697	4.45,4.5,4.4,4.55,4.35	877.92,903.82,1146.38,1197.94,1686.43	4.45
SRR089698	4.4,4.35,4.45,4.3,4.5	1108.98,1204.59,1225.37,1553.6,1577.21	4.4
SRR089699	4.3,4.25,4.35,4.2,4.4	2120.8,2145.69,2348.35,2423.36,2695.6	4.3
SRR089700	4.35,4.3,4.25,4.4,4.2	2342.07,2357.08,2554.42,2597.62,2988.56	4.35
SRR089701	4.25,4.2,4.3,4.15,4.35	2474.66,2523.6,2614.82,2820.01,2856.02	4.25
SRR089702	4.2,4.25,4.15,4.3,4.1	1402.15,1481.5,1577.86,1764.58,1933.02	4.2
