Sample	SoSPredictedPloidy(Top5)	ErrorInSoSApproach(Top5)	Copy_Number
SRR089705	2,1.95,2.05,1.9,2.1	1003.62,1076.11,1164.5,1400.41,1534.86	2
SRR089706	2,1.95,2.05,1.9,2.95	402.64,452.03,625.13,771.69,855.24	2
SRR089707	2,2.05,1.95,3,3.05	560.14,684.65,686.12,962.04,1008.31	2
SRR089708	2,1.95,2.05,1.9,2.1	1107.96,1177.54,1288.36,1492.45,1715.16	2
SRR089709	2,1.95,2.05,1.9,2.95	512.6,557.11,740.32,871.8,1093.84	2
SRR089710	2,1.95,3,2.95,2.05	100.95,190.4,196.97,271.35,277.39	2
SRR089711	2,1.95,3,2.05,2.95	220.56,300.66,391.72,409.94,498.91	2
SRR089712	2,1.95,2.05,1.9,3	589.26,630.36,803.55,942.82,1114.84	2
SRR089713	1.95,2,1.9,2.05,1.85	1117.91,1148.34,1351.68,1439.6,1834.72	1.95
SRR089714	2,1.95,2.05,3,2.95	271,356.31,452.61,549.53,639.48	2
SRR089715	2,1.95,2.05,1.9,2.1	1062.69,1067.35,1320.39,1344.11,1745.55	2
SRR089716	2,1.95,2.05,3,2.95	408.93,471.88,576.96,625.18,711.14	2
SRR089717	1.75,1.8,1.85,1.7,1.9	1861.47,1897.11,2041.18,2138.08,2269.68	1.75
SRR089719	2,1.95,2.05,3,2.95	300.24,381.43,484.57,556.88,627.16	2
SRR089722	2,1.95,2.05,3,1.9	488.96,551.9,696.65,800.94,881.38	2
SRR089730	2,1.95,2.05,3,2.95	235.96,313.89,429.66,486.04,524.14	2
SRR089731	1.95,2,2.95,1.9,2.9	647.56,658.11,789.07,897.57,912.1	1.95
SRR089733	2,1.95,3,2.05,4	161.5,253.16,287.63,341.17,344.43	2
SRR089748	4.25,4.3,4.2,4.35,4.15	1252.58,1310.07,1431.72,1638.15,1855.92	4.25
SRR089749	1.95,1.9,2,1.85,2.05	2618.17,2677.1,2755.52,2925.3,3106.76	1.95
SRR089750	2,1.95,2.05,1.9,2.1	806.24,870.25,1010.05,1206.84,1463.12	2
SRR089751	2,1.95,2.05,1.9,2.95	475.89,542.3,681.44,876.88,994.19	2
SRR089752	1.95,2,1.9,2.05,2.9	1366.96,1404.04,1592.64,1703.17,2039	1.95
SRR089753	2,1.95,2.05,1.9,2.95	710.32,744.19,945.57,1039.37,1296.93	2
SRR089754	2,1.95,3,2.05,2.95	262.84,343.9,433.09,450.34,554.72	2
SRR089755	2,1.95,2.05,1.9,2.1	1206.56,1213.4,1468.38,1489.57,1995.98	2
SRR089756	4.2,4.25,4.15,4.3,4.1	2633.72,2717.15,2809.22,2979.04,3132.88	4.2
SRR089757	4.15,4.1,4.2,4.05,4.25	3368.95,3380.79,3435.95,3515.07,3663.91	4.15
SRR089817	4.4,4.35,4.45,4.3,4.5	2794.41,2802.53,2961.28,3016.72,3305.2	4.4
SRR090126	4.25,4.3,4.35,4.2,4.4	2596.83,2600.96,2777.25,2837.54,3055.02	4.25
SRR090129	4.25,4.3,4.2,4.35,4.15	2140.93,2189.63,2300.56,2438.59,2583.77	4.25
SRR090130	4.25,4.2,4.3,4.15,4.35	1299.7,1397.05,1468.51,1661.38,1911.98	4.25
SRR090131	4.2,4.25,4.15,4.3,4.1	1335.47,1372.17,1551.69,1660.51,1970.24	4.2
SRR090133	4.2,4.25,4.15,4.3,4.1	1725.41,1811.49,1814.64,2085.44,2122.94	4.2
SRR090135	4.25,4.3,4.2,4.35,4.15	1226.46,1260.82,1444.28,1594.59,1905.35	4.25
SRR090142	4.15,4.2,4.1,4.25,4.3	2117.21,2152.69,2288.75,2292.16,2562.84	4.15
SRR090144	4.15,4.2,4.1,4.25,4.05	1541.11,1645.68,1680.27,1949.83,1970.96	4.15
SRR090155	4.2,4.25,4.3,4.15,4.05	3668.45,3688.01,3706.04,3728.11,3740.79	4.2
SRR090156	4.2,4.15,4.25,4.1,4.3	2145,2160.98,2273.68,2427.3,2509.39	4.2
SRR090158	4.2,4.15,4.25,4.1,4.3	1250.57,1287.69,1410.62,1569.06,1804.47	4.2
SRR090159	4.1,4.15,4.05,4.2,4	2179.42,2243.84,2315.54,2430.57,2662.85	4.1
SRR090198	4.2,4.15,4.25,4.1,4.3	1036.83,1072.15,1277.09,1338.43,1801.96	4.2
SRR090206	4.2,4.25,4.15,4.3,4.1	2162.6,2198.42,2269.63,2425.31,2528.16	4.2
SRR090209	4.1,4.05,4.15,4,3.95	2678.9,2693.6,2846.11,2857.08,3074.07	4.1
SRR090210	4.1,4.15,4.2,4.05,4	1448.91,1456.12,1686.46,1718.69,2105.73	4.1
SRR090211	4,4.05,3.95,4.1,3.9	2194.1,2303.53,2320.47,2538.66,2592.47	4
SRR090212	4.15,4.2,4.1,4.25,4.05	1623.94,1705.3,1740.57,2008.19,2080.82	4.15
SRR090213	4.15,4.2,4.1,4.25,4.05	1402.34,1430.12,1639.6,1692.66,2150.97	4.15
